MODEL,MODEL_ARCH,FINETUNE,DATASET
RETFound_mae,retfound_mae,RETFound_mae_natureCFP,APTOS2019
RETFound_mae,retfound_mae,RETFound_mae_meh,APTOS2019
RETFound_mae,retfound_mae,RETFound_mae_shanghai,APTOS2019
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_meh,APTOS2019
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_shanghai,APTOS2019
Dinov2,dinov2_vitl14,dinov2_vitl14_pretrain.pth,APTOS2019
Dinov3,dinov3_vitl16plus,dinov3_vitl16_pretrain_lvd1689m-8aa4cbdd.pth,APTOS2019
RETFound_mae,retfound_mae,RETFound_mae_natureCFP,MESSIDOR2
RETFound_mae,retfound_mae,RETFound_mae_meh,MESSIDOR2
RETFound_mae,retfound_mae,RETFound_mae_shanghai,MESSIDOR2
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_meh,MESSIDOR2
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_shanghai,MESSIDOR2
Dinov2,dinov2_vitl14,dinov2_vitl14_pretrain.pth,MESSIDOR2
Dinov3,dinov3_vitl16plus,dinov3_vitl16_pretrain_lvd1689m-8aa4cbdd.pth,MESSIDOR2
RETFound_mae,retfound_mae,RETFound_mae_natureCFP,IDRID_data
RETFound_mae,retfound_mae,RETFound_mae_meh,IDRID_data
RETFound_mae,retfound_mae,RETFound_mae_shanghai,IDRID_data
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_meh,IDRID_data
RETFound_dinov2,retfound_dinov2,RETFound_dinov2_shanghai,IDRID_data
Dinov2,dinov2_vitl14,dinov2_vitl14_pretrain.pth,IDRID_data
Dinov3,dinov3_vitl16plus,dinov3_vitl16_pretrain_lvd1689m-8aa4cbdd.pth,IDRID_data
